Company;Symbol;Valor Number;Country;Traded Currency;Trading platform;Index-member;Class of Share;Nominal Value;Listing Segment;Accounting Rules;Next General Meeting;Annual closing date;Auditors;Sustainability report opting in;International recognized standard;Primary listing
Evolva Holding SA;EVE;2121806;CH;CHF;XSWX;SPI,SSCI,SPIEX,SLIFE,SBIOM;RS;0.20;International Reporting Standard;IFRS;02.05.18;31.12.;Ernst & Young AG - CH[500646];No;;true
Feintool International Holding AG;FTON;932009;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;10.00;International Reporting Standard;IFRS;24.04.18;31.12.;KPMG AG - CH[501403];No;;true
Flughafen Zürich AG;FHZN;31941693;CH;CHF;XSWX;SPI,SMCI,SPIEX,SMIM,SMIEXP;RS;10.00;International Reporting Standard;IFRS;19.04.18;31.12.;KPMG AG - CH[501403];No;;true
Forbo Holding AG;FORN;354151;CH;CHF;XSWX;SPI,SMCI,SPIEX;RS;0.10;International Reporting Standard;IFRS;06.04.18;31.12.;KPMG AG - CH[501403];No;;true
Formulafirst Ltd.;FFI;1462983;VG;CHF;XSWX;;BS;0.01;Investment Companies;IFRS;25.05.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Galenica AG;GALE;36067446;CH;CHF;XSWX;SPI,SMCI,SPIEX;RS;0.10;International Reporting Standard;IFRS;09.05.18;31.12.;Ernst & Young AG - CH[500646];No;;true
GAM Holding AG;GAM;10265962;CH;CHF;XSWX;SPI,SMCI,SPIEX,SMIM,SMIEXP;RS;0.05;International Reporting Standard;IFRS;26.04.18;31.12.;KPMG AG - CH[501403];No;;true
Geberit AG;GEBN;3017040;CH;CHF;XSWX;SMI,SPI,SLCI,SMIEXP,SLI;RS;0.10;International Reporting Standard;IFRS;04.04.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
General Electric Co.;GE;933071;US;CHF;XSWX;;RS;0.16;International Reporting Standard;;;;KPMG LLP - US;No;;false
Georg Fischer AG;FI-N;175230;CH;CHF;XSWX;SPI,SMCI,SPIEX,SMIM,SMIEXP;RS;1.00;Swiss Reporting Standard;Swiss GAAP FER;18.04.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
